section_label,sub_section,topic,source,url,notes
Structured Learning Path,Fundamentals,Caching,Hello Interview,https://www.hellointerview.com/learn/system-design/core-concepts/caching,Cache-aside vs write-through vs write-back; TTL/eviction policies such as LRU; cache placement (CDN/app/DB layer); cache misses; staleness handling.
Structured Learning Path,Fundamentals,Caching,Hello Interview YouTube,https://www.youtube.com/watch?v=1NngTUYPdpI,Cache-aside vs write-through vs write-back; TTL/eviction policies such as LRU; cache placement (CDN/app/DB layer); cache misses; staleness handling.
Structured Learning Path,Fundamentals,Sharding & Consistent Hashing,ByteByteGo,https://bytebytego.com/guides/a-crash-course-in-database-sharding,"Why/when to shard; range/hash/geo strategies and hotspot trade-offs; why consistent hashing reduces reshuffling when nodes are added/removed. Explain, do not implement."
Structured Learning Path,Fundamentals,Sharding & Consistent Hashing,Hello Interview,https://www.hellointerview.com/learn/system-design/core-concepts/sharding,"Why/when to shard; range/hash/geo strategies and hotspot trade-offs; why consistent hashing reduces reshuffling when nodes are added/removed. Explain, do not implement."
Structured Learning Path,Fundamentals,Sharding & Consistent Hashing,Hello Interview YouTube,https://www.youtube.com/watch?v=L521gizea4s,"Why/when to shard; range/hash/geo strategies and hotspot trade-offs; why consistent hashing reduces reshuffling when nodes are added/removed. Explain, do not implement."
Structured Learning Path,Fundamentals,Sharding & Consistent Hashing,ByteByteGo 2,https://bytebytego.com/guides/consistent-hashing,"Why/when to shard; range/hash/geo strategies and hotspot trade-offs; why consistent hashing reduces reshuffling when nodes are added/removed. Explain, do not implement."
Structured Learning Path,Fundamentals,Sharding & Consistent Hashing,Hello Interview 2,https://www.hellointerview.com/learn/system-design/core-concepts/consistent-hashing,"Why/when to shard; range/hash/geo strategies and hotspot trade-offs; why consistent hashing reduces reshuffling when nodes are added/removed. Explain, do not implement."
Structured Learning Path,Fundamentals,Sharding & Consistent Hashing,Hello Interview YouTube 2,https://www.youtube.com/watch?v=vccwdhfqIrI,"Why/when to shard; range/hash/geo strategies and hotspot trade-offs; why consistent hashing reduces reshuffling when nodes are added/removed. Explain, do not implement."
Structured Learning Path,Fundamentals,CAP theorem & consistency trade-offs,ByteByteGo,https://bytebytego.com/guides/cap-theorem-one-of-the-most-misunderstood-terms,"For a given system, state the trade-off and why. Example: favor availability when stale reads are acceptable; favor strong consistency for access-approval state. Reasoning matters more than formal definition."
Structured Learning Path,Fundamentals,CAP theorem & consistency trade-offs,Hello Interview,https://www.hellointerview.com/learn/system-design/core-concepts/cap-theorem,"For a given system, state the trade-off and why. Example: favor availability when stale reads are acceptable; favor strong consistency for access-approval state. Reasoning matters more than formal definition."
Structured Learning Path,Fundamentals,CAP theorem & consistency trade-offs,Hello Interview YouTube,https://www.youtube.com/watch?v=VdrEq0cODu4,"For a given system, state the trade-off and why. Example: favor availability when stale reads are acceptable; favor strong consistency for access-approval state. Reasoning matters more than formal definition."
Structured Learning Path,Fundamentals,Async & messaging (queues),ByteByteGo,https://bytebytego.com/guides/types-of-message-queue,"Why queues decouple producers/consumers; at-least-once vs exactly-once delivery; pub/sub vs point-to-point. Kafka: topics, partitions, consumer groups conceptually; skip broker tuning."
Structured Learning Path,Fundamentals,Async & messaging (queues),Hello Interview,https://www.hellointerview.com/learn/system-design/deep-dives/kafka,"Why queues decouple producers/consumers; at-least-once vs exactly-once delivery; pub/sub vs point-to-point. Kafka: topics, partitions, consumer groups conceptually; skip broker tuning."
Structured Learning Path,Fundamentals,Async & messaging (queues),Hello Interview YouTube,https://www.youtube.com/watch?v=DU8o-OTeoCc,"Why queues decouple producers/consumers; at-least-once vs exactly-once delivery; pub/sub vs point-to-point. Kafka: topics, partitions, consumer groups conceptually; skip broker tuning."
Structured Learning Path,Fundamentals,Reliability / fault tolerance / high availability,ByteByteGo,https://bytebytego.com/guides/a-cheat-sheet-for-designing-fault-tolerant-systems,"Practical toolkit: redundancy/replication, health checks, retries with backoff, circuit breakers, failover. Judgment-level resilience knowledge; no Paxos/Raft needed."
Structured Learning Path,Fundamentals,Reliability / fault tolerance / high availability,ByteByteGo 2,https://bytebytego.com/guides/how-do-we-design-for-high-availability,"Practical toolkit: redundancy/replication, health checks, retries with backoff, circuit breakers, failover. Judgment-level resilience knowledge; no Paxos/Raft needed."
Structured Learning Path,Fundamentals,Numbers to know (latency/throughput intuition),Hello Interview,https://www.hellointerview.com/learn/system-design/core-concepts/numbers-to-know,"Memorize a small set of latency/throughput reference points: memory vs disk vs network, and rough single DB/cache instance capacity. Use them for sanity checks."
Structured Learning Path,Fundamentals,Identity / IAM-specific,ByteByteGo,https://bytebytego.com/guides/how-do-we-design-a-permission-system,RBAC vs ABAC with examples; OAuth2/OIDC at conceptual flow level; session vs token trade-offs; why policy evaluation must be fast/cacheable at scale. Worth exceeding interview-minimum depth.
Structured Learning Path,Fundamentals,Identity / IAM-specific,ByteByteGo 2,https://bytebytego.com/guides/top-4-forms-of-authentication-mechanisms,RBAC vs ABAC with examples; OAuth2/OIDC at conceptual flow level; session vs token trade-offs; why policy evaluation must be fast/cacheable at scale. Worth exceeding interview-minimum depth.
Structured Learning Path,Fundamentals,Identity / IAM-specific,ByteByteGo 3,https://bytebytego.com/guides/explaining-sessions-tokens-jwt-sso-and-oauth-in-one-diagram,RBAC vs ABAC with examples; OAuth2/OIDC at conceptual flow level; session vs token trade-offs; why policy evaluation must be fast/cacheable at scale. Worth exceeding interview-minimum depth.
Structured Learning Path,Fundamentals,Identity / IAM-specific,ByteByteGo 4,https://bytebytego.com/guides/how-do-we-design-a-secure-system,RBAC vs ABAC with examples; OAuth2/OIDC at conceptual flow level; session vs token trade-offs; why policy evaluation must be fast/cacheable at scale. Worth exceeding interview-minimum depth.
Structured Learning Path,Core Components,Key Technologies overview,Hello Interview,https://www.hellointerview.com/learn/system-design/in-a-hurry/key-technologies,Skim the technology map first: understand which technology to reach for and why before going deep into individual tools.
Structured Learning Path,Core Components,Database: PostgreSQL,Hello Interview,https://www.hellointerview.com/learn/system-design/deep-dives/postgres,"Read/write performance patterns, indexing choices, consistency guarantees, and replication at decision-making depth. Avoid over-indexing on MVCC/WAL internals."
Structured Learning Path,Core Components,Database: DynamoDB,Hello Interview,https://www.hellointerview.com/learn/system-design/deep-dives/dynamodb,Key-value/partition model; auto-scaling via partitioning; Global Tables for cross-region replication; when to choose it over Postgres. No deeper AWS internals required.
Structured Learning Path,Core Components,Database: DynamoDB,Hello Interview YouTube,https://www.youtube.com/watch?v=2X2SO3Y-af8,Key-value/partition model; auto-scaling via partitioning; Global Tables for cross-region replication; when to choose it over Postgres. No deeper AWS internals required.
Structured Learning Path,Core Components,Cache: Redis,Hello Interview,https://www.hellointerview.com/learn/system-design/deep-dives/redis,"Redis as external cache: keys/values, TTL expiry, eviction under memory pressure, and clustering/scaling by adding nodes. This is the specific-tool layer on top of generic caching."
Structured Learning Path,Core Components,Cache: Redis,Hello Interview YouTube,https://www.youtube.com/watch?v=fmT5nlEkl3U,"Redis as external cache: keys/values, TTL expiry, eviction under memory pressure, and clustering/scaling by adding nodes. This is the specific-tool layer on top of generic caching."
Structured Learning Path,Core Components,Message Queue: Kafka,Hello Interview,https://www.hellointerview.com/learn/system-design/deep-dives/kafka,"Same Kafka concepts as async/messaging: topics, partitions, consumer groups, delivery semantics at conceptual depth."
Structured Learning Path,Core Components,Message Queue: Kafka,Hello Interview YouTube,https://www.youtube.com/watch?v=DU8o-OTeoCc,"Same Kafka concepts as async/messaging: topics, partitions, consumer groups, delivery semantics at conceptual depth."
Structured Learning Path,Core Components,Load Balancer / API Gateway,ByteByteGo,https://bytebytego.com/guides/what-are-the-differences-between-a-load-balancer-and-an-api-gateway,"Know client-to-gateway vs gateway-to-service load balancing, and what API gateways do beyond routing: auth, rate limiting, caching."
Structured Learning Path,Core Components,Load Balancer / API Gateway,Hello Interview,https://www.hellointerview.com/learn/system-design/deep-dives/api-gateway,"Know client-to-gateway vs gateway-to-service load balancing, and what API gateways do beyond routing: auth, rate limiting, caching."
Structured Learning Path,Core Components,Load Balancer / API Gateway,Hello Interview YouTube,https://www.youtube.com/watch?v=7-6F3b14baA,"Know client-to-gateway vs gateway-to-service load balancing, and what API gateways do beyond routing: auth, rate limiting, caching."
Structured Learning Path,Core Components,Blob Storage & CDN,ByteByteGo,https://bytebytego.com/guides/what-is-cdn-content-delivery-network,"Anything over roughly 10MB or unstructured (images/video/files) belongs in blob storage such as S3, not a database. CDNs cache static assets near users. Know presigned URLs for direct upload/download."
Structured Learning Path,Core Components,Blob Storage & CDN,Hello Interview,https://www.hellointerview.com/learn/system-design/patterns/large-blobs,"Anything over roughly 10MB or unstructured (images/video/files) belongs in blob storage such as S3, not a database. CDNs cache static assets near users. Know presigned URLs for direct upload/download."
Structured Learning Path,,How DBs work indetail,ByteByteGo,https://cstack.github.io/db_tutorial/,
Likely Questions,Likely Questions - Generic,Design a URL shortener / rate limiter,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/bitly,Classic warm-up; used to gauge baseline fluency.
Likely Questions,Likely Questions - Generic,Design a URL shortener / rate limiter,Hello Interview YouTube,https://www.youtube.com/watch?v=iUU4O1sWtJA,Classic warm-up; used to gauge baseline fluency.
Likely Questions,Likely Questions - Generic,Design a URL shortener / rate limiter,ByteByteGo 2,https://app.excalidraw.com/l/56zGeHiLyKZ/6wOFOCZpHNv,Classic warm-up; used to gauge baseline fluency.
Likely Questions,Likely Questions - Generic,Design a notification system,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/dropbox,Generic baseline system-design question.
Practice Problems,Practice - High,Ticketmaster,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/ticketmaster,"Concurrency, race conditions, transactional integrity; maps closely to preventing double-provisioning or conflicting approvals."
Practice Problems,Practice - High,Ticketmaster,Hello Interview YouTube,https://www.youtube.com/watch?v=fhdPyoO6aXI,"Concurrency, race conditions, transactional integrity; maps closely to preventing double-provisioning or conflicting approvals."
Practice Problems,Practice - High,Dropbox,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/dropbox,"File storage, sync, metadata management; close analog to a connector framework syncing identity data from external sources."
Practice Problems,Practice - High,Dropbox,Hello Interview YouTube,https://www.youtube.com/watch?v=_UZ1ngy-kOI,"File storage, sync, metadata management; close analog to a connector framework syncing identity data from external sources."
Practice Problems,Practice - High,Dropbox,ByteByteGo 2,https://app.excalidraw.com/l/56zGeHiLyKZ/311OFRZkAkz,"File storage, sync, metadata management; close analog to a connector framework syncing identity data from external sources."
Practice Problems,Practice - High,Ad Click Aggregator,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/ad-click-aggregator,High-throughput event processing and analytics; closest analog to an audit-log system ingesting access events at scale.
Practice Problems,Practice - High,Ad Click Aggregator,Hello Interview YouTube,https://www.youtube.com/watch?v=Zcv_899yqhI,High-throughput event processing and analytics; closest analog to an audit-log system ingesting access events at scale.
Practice Problems,Practice - High,Web Crawler,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/web-crawler,Distributed scheduling and politeness/rate policies; transfers to connectors polling multiple source systems on schedules.
Practice Problems,Practice - High,Web Crawler,Hello Interview YouTube,https://www.youtube.com/watch?v=krsuaUp__pM,Distributed scheduling and politeness/rate policies; transfers to connectors polling multiple source systems on schedules.
Practice Problems,Practice - Medium,FB Post Search,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/fb-post-search,"Indexing, ranking, search optimization; some relevance to searchable audit logs or access reviews."
Practice Problems,Practice - Medium,FB Post Search,Hello Interview YouTube,https://www.youtube.com/watch?v=l38XL9914fs,"Indexing, ranking, search optimization; some relevance to searchable audit logs or access reviews."
Practice Problems,Practice - Low,WhatsApp,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/whatsapp,Real-time messaging/presence; low relevance to IdentityIQ domain.
Practice Problems,Practice - Low,WhatsApp,Hello Interview YouTube,https://www.youtube.com/watch?v=cr6p0n0N-VA,Real-time messaging/presence; low relevance to IdentityIQ domain.
Practice Problems,Practice - Low,LeetCode,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/leetcode,Code-execution sandboxing/security; low relevance.
Practice Problems,Practice - Low,LeetCode,Hello Interview YouTube,https://www.youtube.com/watch?v=1xHADtekTNg,Code-execution sandboxing/security; low relevance.
Practice Problems,Practice - Low,Uber,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/uber,Geospatial indexing/matching; low relevance.
Practice Problems,Practice - Low,Uber,Hello Interview YouTube,https://www.youtube.com/watch?v=lsKU38RKQSo,Geospatial indexing/matching; low relevance.
Practice Problems,Practice - Low,FB News Feed,Hello Interview,https://www.hellointerview.com/learn/system-design/problem-breakdowns/fb-news-feed,Personalization/ranking/real-time updates; low relevance.
Practice Problems,Practice - Low,FB News Feed,Hello Interview YouTube,https://www.youtube.com/watch?v=Qj4-GruzyDU,Personalization/ranking/real-time updates; low relevance.
